car_code,sub_code,make,model,spec,current_price,depreciation,down_payment,installment,coe,road_tax,omv,arf,fuel_economy,fuel_type,coe_incl
12284,6374,Toyota,Toyota Prius+ Hybrid,1.8 (A),153888,14600,61555,1313,70200,976,28004,16206,25.6,Petrol-Electric,True
12289,6400,Renault,Renault Zoe Electric,41 kWh 5-door (A),POA,-,-,-,47001,814,33840,5000,16.1,Electric,True
12290,6401,Renault,Renault Kangoo E-Tech Electric,LWB 33.1 kWh (A),103800,-,10380,1329,38890,-,-,-,15.9,Electric,True
12295,7952,Ferrari,Ferrari Portofino,M 3.9 V8 (A),898000,-,-,-,70200,3722,-,-,8.8,Petrol,False
12297,8162,BMW M Series,BMW M Series M5 Sedan,4.4 Competition (A),577888,48000,231155,4931,70200,4566,124642,196356,8.8,Petrol,True
12299,6548,Rolls-Royce,Rolls-Royce Cullinan,6.75 V12 (A),POA,-,-,-,70200,8248,230932,387678,6.6,Petrol,True
12300,7700,Audi,Audi RS 4 Avant,2.9 TFSI qu Tip (A),441405,38100,176562,3766,70200,2260,82232,120018,10.5,Petrol,True
12302,8127,Mazda,Mazda CX-3,1.5 Classic (A),101888,9400,30566,1014,47001,682,15882,15882,14.9,Petrol,True
12302,8128,Mazda,Mazda CX-3,1.5 Elegance (A),107888,9800,32366,1074,47001,682,19536,19536,14.9,Petrol,True
12303,6441,Aston Martin,Aston Martin DB11 Volante,4.0 (A),POA,-,-,-,70200,3920,-,-,10,Petrol,True
12304,6442,Aston Martin,Aston Martin Vantage,4.0 (A),POA,-,-,-,70200,3920,154652,250374,9.7,Petrol,True
12306,6444,Aston Martin,Aston Martin V12 DBS Superleggera,5.2 V12 (A),POA,-,-,-,70200,5832,-,-,8,Petrol,True
12312,8273,MINI,MINI John Cooper Works Convertible,2.0 (A),231888,-,92755,1979,70200,1210,-,-,15.6,Petrol,True
12314,8272,MINI,MINI John Cooper Works 3-Door,2.0 (A),220888,-,88355,1885,70200,1210,-,-,15.6,Petrol,True
12316,8282,MINI,MINI Cooper 3-Door,1.5 (A),191888,-,76755,1637,70200,684,-,-,15.6,Petrol,True
12323,6490,Mazda,Mazda 6 Sedan,2.0 Standard (A),127888,11800,38366,1273,70200,1210,19507,19507,14.7,Petrol,True
12323,6491,Mazda,Mazda 6 Sedan,2.0 Executive (A),135888,12400,54355,1160,70200,1210,22668,23735,14.7,Petrol,True
12325,6496,BMW ALPINA,BMW ALPINA B5 Bi-Turbo Saloon,4.4 V8 (A),465800,-,-,-,70200,4566,123388,194098,9.5,Petrol,False
12328,8328,MINI,MINI Cooper Convertible,1.5 (A),204888,-,81955,1748,70200,684,-,-,15.6,Petrol,True
12332,6510,Land Rover,Land Rover Range Rover Sport,5.0 V8 S/C SVR (A),639999,-,256000,5461,70200,5514,-,-,7.8,Petrol,True
12339,8270,MINI,MINI Cooper S Convertible,2.0 (A),221888,-,88755,1893,70200,1210,-,-,15.2,Petrol,True
12340,8279,MINI,MINI Cooper S 3-Door,2.0 (A),208888,-,83555,1782,70200,1210,-,-,15.2,Petrol,True
12341,8277,MINI,MINI Cooper S 5-Door,2.0 (A),211888,-,84755,1808,70200,1210,-,-,15.2,Petrol,True
12342,8396,MINI,MINI Cooper 5-Door,1.5 (A),194888,-,77955,1663,70200,684,-,-,15.6,Petrol,True
12343,6675,Subaru,Subaru Forester,2.0i-L EyeSight (A),136800,12800,41040,1362,70200,1206,17963,17963,13.5,Petrol,True
12343,6676,Subaru,Subaru Forester,2.0i-S EyeSight (A),139800,13000,41940,1392,70200,1206,19876,19876,13.5,Petrol,True
12344,6537,Nissan,Nissan Cabstar Petrol,2.0 (M),69800,-,6980,893,38890,-,-,-,9.5,Petrol,True
12344,6538,Nissan,Nissan Cabstar Petrol,2.0 (A),72800,-,7280,932,38890,-,-,-,8.6,Petrol,True
12351,6561,BMW,BMW X4,xDrive20i xLine (A),285888,25500,114355,2439,70200,1210,49273,60982,13.7,Petrol,True
12351,7258,BMW,BMW X4,xDrive20i M Sport (A),290888,25900,116355,2482,70200,1210,50783,63409,14,Petrol,True
12358,7860,Renault,Renault Megane RS,1.8T TCe (A),227999,-,91200,1945,70200,976,-,-,12.2,Petrol,True
12359,6587,BMW M Series,BMW M Series X4 M40i,3.0 (A),387888,33300,155155,3310,70200,2382,76248,109246,10.8,Petrol,True
12363,6768,Lexus,Lexus UX 200,2.0 Executive (A),189800,16900,75920,1620,70200,1196,35342,41479,17.2,Petrol,True
12363,6769,Lexus,Lexus UX 200,2.0 Luxury (A),199800,17700,79920,1705,70200,1196,38119,45367,17.2,Petrol,True
12370,6802,Mercedes-Benz,Mercedes-Benz CLS-Class Mild Hybrid,CLS53 AMG 4MATIC (A),515888,43200,206355,4402,70200,2384,108931,168076,11.2,Petrol-Electric,True
12373,6627,Lexus,Lexus ES 300h Hybrid,2.5 Executive (A),264800,23700,105920,2260,70200,1784,45915,56281,21.7,Petrol-Electric,True
12373,6628,Lexus,Lexus ES 300h Hybrid,2.5 Luxury (A),282800,25100,113120,2413,70200,1784,51178,64120,21.7,Petrol-Electric,True
12374,6629,Lexus,Lexus ES 250,2.5 Executive (A),252800,22900,101120,2157,70200,1784,40319,48447,15.1,Petrol,True
12374,6630,Lexus,Lexus ES 250,2.5 Luxury (A),272800,24300,109120,2328,70200,1784,47986,59180,15.1,Petrol,True
12375,7949,Citroen,Citroen Grand C4 SpaceTourer,1.2 Exclusive (A),124999,11200,50000,1067,47001,508,24808,26731,19.2,Petrol,True
12380,6651,Audi,Audi Q8 Mild Hybrid,3.0 TFSI qu Tip (A),425779,37300,170312,3633,70200,2380,73970,105146,11.2,Petrol-Electric,True
