212,BEDOK,5 ROOM,468000
213,BEDOK,5 ROOM,475000
214,BEDOK,5 ROOM,500000
215,BEDOK,5 ROOM,480000
216,BEDOK,5 ROOM,460000
217,BEDOK,5 ROOM,440000
218,BEDOK,5 ROOM,458000
219,BEDOK,5 ROOM,650000
220,BEDOK,5 ROOM,612000
221,BEDOK,5 ROOM,622000
222,BEDOK,5 ROOM,725000
223,BEDOK,5 ROOM,510000
224,BEDOK,5 ROOM,595000
225,BEDOK,5 ROOM,790000
226,BEDOK,5 ROOM,520000
227,BEDOK,5 ROOM,648000
228,BEDOK,5 ROOM,480000
229,BEDOK,5 ROOM,630000
230,BEDOK,5 ROOM,648000
231,BEDOK,5 ROOM,810000
232,BEDOK,5 ROOM,750000
233,BEDOK,5 ROOM,530000
234,BEDOK,5 ROOM,700000
235,BEDOK,5 ROOM,480000
236,BEDOK,EXECUTIVE,740000
237,BEDOK,EXECUTIVE,743000
238,BEDOK,EXECUTIVE,773000
239,BEDOK,EXECUTIVE,660000
240,BEDOK,EXECUTIVE,755000
241,BEDOK,EXECUTIVE,740888
242,BEDOK,EXECUTIVE,690000
243,BEDOK,EXECUTIVE,890000
244,BEDOK,EXECUTIVE,875000
245,BISHAN,3 ROOM,400000
246,BISHAN,3 ROOM,345000
247,BISHAN,3 ROOM,385000
248,BISHAN,3 ROOM,407500
249,BISHAN,3 ROOM,375000
250,BISHAN,4 ROOM,455000
251,BISHAN,4 ROOM,780000
252,BISHAN,4 ROOM,580000
253,BISHAN,4 ROOM,600000
254,BISHAN,4 ROOM,550000
255,BISHAN,4 ROOM,490000
256,BISHAN,4 ROOM,625000
257,BISHAN,4 ROOM,600000
258,BISHAN,4 ROOM,570000
259,BISHAN,4 ROOM,630000
260,BISHAN,4 ROOM,570000
261,BISHAN,4 ROOM,410000
262,BISHAN,4 ROOM,550000
263,BISHAN,4 ROOM,538000
264,BISHAN,4 ROOM,500000
265,BISHAN,4 ROOM,520000
266,BISHAN,4 ROOM,595000
267,BISHAN,4 ROOM,475000
268,BISHAN,4 ROOM,530000
269,BISHAN,4 ROOM,582000
270,BISHAN,4 ROOM,525000
271,BISHAN,4 ROOM,858000
272,BISHAN,4 ROOM,660000
273,BISHAN,4 ROOM,563000
274,BISHAN,4 ROOM,555000
275,BISHAN,4 ROOM,480000
276,BISHAN,4 ROOM,528000
277,BISHAN,4 ROOM,480000
278,BISHAN,4 ROOM,670000
279,BISHAN,5 ROOM,675000
280,BISHAN,5 ROOM,640000
281,BISHAN,5 ROOM,793888
282,BISHAN,5 ROOM,715000
283,BISHAN,5 ROOM,688000
284,BISHAN,5 ROOM,770000
285,BISHAN,5 ROOM,720000
286,BISHAN,5 ROOM,628000
287,BISHAN,5 ROOM,740000
288,BISHAN,5 ROOM,850000
289,BISHAN,5 ROOM,800000
290,BISHAN,5 ROOM,1210000
291,BISHAN,5 ROOM,990000
292,BISHAN,5 ROOM,765000
293,BISHAN,5 ROOM,938000
294,BISHAN,5 ROOM,723000
295,BISHAN,EXECUTIVE,1028000
296,BISHAN,EXECUTIVE,770000
297,BISHAN,EXECUTIVE,840000
298,BISHAN,EXECUTIVE,968000
299,BISHAN,EXECUTIVE,910000
300,BUKIT BATOK,3 ROOM,288000
301,BUKIT BATOK,3 ROOM,305000
302,BUKIT BATOK,3 ROOM,288000
303,BUKIT BATOK,3 ROOM,293000
304,BUKIT BATOK,3 ROOM,301688
305,BUKIT BATOK,3 ROOM,282500
306,BUKIT BATOK,3 ROOM,285000
307,BUKIT BATOK,3 ROOM,270000
308,BUKIT BATOK,3 ROOM,310000
309,BUKIT BATOK,3 ROOM,330000
310,BUKIT BATOK,3 ROOM,291000
311,BUKIT BATOK,3 ROOM,278000
312,BUKIT BATOK,3 ROOM,285000
313,BUKIT BATOK,3 ROOM,315000
314,BUKIT BATOK,3 ROOM,308000
315,BUKIT BATOK,3 ROOM,265000
316,BUKIT BATOK,3 ROOM,301000
317,BUKIT BATOK,3 ROOM,275000
318,BUKIT BATOK,3 ROOM,300000
319,BUKIT BATOK,3 ROOM,285000
320,BUKIT BATOK,3 ROOM,280000
321,BUKIT BATOK,3 ROOM,260000
322,BUKIT BATOK,4 ROOM,425000
323,BUKIT BATOK,4 ROOM,375000
324,BUKIT BATOK,4 ROOM,375000
325,BUKIT BATOK,4 ROOM,400000
326,BUKIT BATOK,4 ROOM,350000
327,BUKIT BATOK,4 ROOM,448000
328,BUKIT BATOK,4 ROOM,460000
329,BUKIT BATOK,4 ROOM,380000
330,BUKIT BATOK,4 ROOM,370000
331,BUKIT BATOK,4 ROOM,358000
332,BUKIT BATOK,4 ROOM,352000
333,BUKIT BATOK,4 ROOM,330000
334,BUKIT BATOK,4 ROOM,350000
335,BUKIT BATOK,4 ROOM,445000
336,BUKIT BATOK,4 ROOM,460000
337,BUKIT BATOK,4 ROOM,452000
338,BUKIT BATOK,4 ROOM,400000
339,BUKIT BATOK,4 ROOM,400000
340,BUKIT BATOK,4 ROOM,410000
341,BUKIT BATOK,5 ROOM,575000
342,BUKIT BATOK,5 ROOM,470000
343,BUKIT BATOK,5 ROOM,465000
344,BUKIT BATOK,5 ROOM,570000
345,BUKIT BATOK,5 ROOM,485000
346,BUKIT BATOK,5 ROOM,586500
347,BUKIT BATOK,5 ROOM,550000
348,BUKIT BATOK,5 ROOM,578000
349,BUKIT BATOK,5 ROOM,490000
350,BUKIT BATOK,5 ROOM,480000
351,BUKIT BATOK,5 ROOM,460000
352,BUKIT BATOK,5 ROOM,505000
353,BUKIT BATOK,5 ROOM,525000
354,BUKIT BATOK,5 ROOM,565000
355,BUKIT BATOK,5 ROOM,516000
356,BUKIT BATOK,EXECUTIVE,588000
357,BUKIT BATOK,EXECUTIVE,695000
358,BUKIT BATOK,EXECUTIVE,655000
359,BUKIT BATOK,EXECUTIVE,570000
360,BUKIT BATOK,EXECUTIVE,738000
361,BUKIT BATOK,EXECUTIVE,635000
362,BUKIT BATOK,EXECUTIVE,640000
363,BUKIT BATOK,EXECUTIVE,878000
364,BUKIT BATOK,EXECUTIVE,635000
365,BUKIT BATOK,EXECUTIVE,600000
366,BUKIT MERAH,1 ROOM,182000
367,BUKIT MERAH,2 ROOM,210000
368,BUKIT MERAH,2 ROOM,245000
369,BUKIT MERAH,2 ROOM,510000
370,BUKIT MERAH,3 ROOM,340000
371,BUKIT MERAH,3 ROOM,310000
